order,station,post,lat,long,lat
86,京橋,104-0031,中央区京橋２-２-１０,139.770126,35.676856
87,宝町,104-0031,中央区京橋２-１３-１１,139.771767,35.675461
88,八丁堀,104-0032,中央区八丁堀３丁目,139.777705,35.674617
89,八丁堀,104-0032,中央区八丁堀３丁目,139.776982,35.674851
90,築地,104-0045,中央区築地３-１５-１,139.772603,35.668115
91,新富町,104-0045,東京都中央区築地一丁目1-1,139.773711,35.670462
92,築地市場,104-0045,中央区築地５-１-２,139.766915,35.664895
93,月島,104-0052,東京都中央区月島一丁目3-9,139.784233,35.664871
94,月島,104-0052,東京都中央区月島一丁目3-9,139.784233,35.664871
95,勝どき,104-0054,中央区勝どき２-１０-１５,139.776442,35.658507
96,銀座,104-0061,中央区銀座４-１-２,139.763965,35.671989
97,銀座,104-0061,中央区銀座４-１-２,139.763965,35.671989
98,東銀座,104-0061,中央区銀座４-１２-１５,139.767253,35.669464
99,銀座,104-0061,中央区銀座４-１-２,139.763965,35.671989
100,銀座一丁目,104-0061,東京都中央区銀座一丁目7-12,139.767045,35.67435
101,東銀座,104-0061,中央区銀座４-１２-１５,139.767253,35.669464
102,虎ノ門,105-0001,港区虎ノ門１-１-２１,139.749832,35.670236
103,神谷町,105-0001,港区虎ノ門５-１２-１１,139.745069,35.662978
104,御成門,105-0003,港区西新橋３-２４-６,139.751535,35.661215
105,新橋,105-0004,東京都港区新橋二丁目17,139.758587,35.666195
106,新橋,105-0004,東京都港区新橋二丁目17,139.758587,35.666195
107,新橋,105-0004,東京都港区新橋二丁目17,139.758587,35.666195
108,新橋,105-0004,東京都港区新橋二丁目17,139.758587,35.666195
109,新橋,105-0004,東京都港区新橋二丁目17-5,139.758432,35.667434
110,新橋,105-0004,東京都港区新橋二丁目21-1,139.759451,35.665577
111,芝公園,105-0011,港区芝公園４-８-１４,139.749824,35.654074
112,大門,105-0013,港区浜松町１-２７-１２,139.75466,35.656785
113,大門,105-0013,港区浜松町１-２７-１２,139.75466,35.656785
114,浜松町,105-0013,東京都港区浜松町二丁目4-12,139.756747,35.655666
115,汐留,105-0021,港区東新橋１丁目５,139.760642,35.663703
116,新橋,105-0021,東京都港区東新橋一丁目5-13,139.759644,35.665503
117,汐留,105-0021,港区東新橋１丁目５,139.759985,35.662871
118,浜松町,105-0022,東京都港区海岸一丁目3-1,139.757135,35.655391
119,浜松町,105-0022,東京都港区海岸一丁目3-1,139.757135,35.655391
120,竹芝,105-0022,港区海岸１-１３-１０,139.762037,35.654099
121,日の出,105-0022,港区海岸２-７-６８,139.75906,35.649136
122,六本木,106-0032,港区六本木６-１-２５,139.731443,35.662836
123,六本木一丁目,106-0032,港区六本木１-４-１,139.739,35.665595
124,六本木,106-0032,港区六本木６-１-２５,139.731567,35.663921
125,赤羽橋,106-0044,港区東麻布１-２８-１３,139.743642,35.655007
126,麻布十番,106-0045,港区麻布十番４-４-９,139.737051,35.654682
127,麻布十番,106-0045,港区麻布十番４-４-９,139.736116,35.656503
128,広尾,106-0047,港区南麻布５-１０-２８,139.722202,35.652279
129,赤坂見附,107-0052,港区赤坂３-１-６,139.737047,35.677021
130,赤坂見附,107-0052,港区赤坂３-１-６,139.737047,35.677021
131,赤坂,107-0052,港区赤坂５丁目,139.738348,35.67323
132,外苑前,107-0061,港区北青山２-７-１６,139.717857,35.670527
133,表参道,107-0061,港区北青山３丁目,139.712314,35.665247
134,表参道,107-0061,港区北青山３丁目,139.712314,35.665247
135,表参道,107-0061,港区北青山３丁目,139.712314,35.665247
136,青山一丁目,107-0062,港区南青山１-１-１９,139.724159,35.672765
137,乃木坂,107-0062,港区南青山１丁目,139.726215,35.666572
138,青山一丁目,107-0062,港区南青山１-１-１９,139.724159,35.672765
139,青山一丁目,107-0062,港区南青山１-１-１９,139.72396,35.672929
140,田町,108-0014,東京都港区芝五丁目33-36,139.747575,35.645736
141,田町,108-0014,東京都港区芝五丁目33-36,139.747575,35.645736
142,三田,108-0014,港区芝５-３４-１０,139.748775,35.64818
143,三田,108-0014,港区芝５-３４-１０,139.748775,35.64818
